a+2 abacadbcbdcd
b+2 abacadbcbd
c+2 acaebdbecd
d+2 abacadbdbecd
e+2 abacaebcbecd
f+2 abacaebdbecd
g+2 acadbdbe
h+2 abacadbdbe
i+2 abacadbebfde
j+2 abacadbdbfde
k+2 abacadbebf
l+2 acadaebdbeef
m+2 acadaebdbfef
mMinus+2 acadbcbede
n+3 abadaebdbfcecgfg
o+3 adaeafbcbebgcfcgde
p+3 adaeafbebgcfchef
q+3 adaeafbcbfbgcgchef
r+3 adaeagbdbfcgciefgh
s+3 adaeagbdbfchciefgh
t+3 adaeagbcbgbhchcifg
u+3 adaeahbcbfbgchcjhi
v+4 abaeaibebfcdcgcjdhdjfghi
w+4 abaeajbfbgcdchckdidkghij
x+4 abaeagbfbhcgcjdhdidkhijk
y+4 abaeajbfbgcdchcldidkghij
a-1 abacbc
b-2 acadbcbd
c-2 abacadbcbd
d-2 acadbdbe
e-2 acadbcbdbe
e0Minus-2 acadbcbd
e1Minus-2 acadbcbd
f-2 abacadbebfde
g-2 abacadbebf
h-2 acadbdbebfef
i-2 adaebdbebfcd
j-2 acaebebfbgdefg
k-3 abadafbebfcdcecfde
l1-3 abadaebdbfcecgfg
m-3 abadafbebfcfcgde
n-3 abadafbebfcdcecgde
o-3 adaeafbdbecfcgef
p-3 adaeafbebgcfchfg
q-3 adaeafbebgcfchef
r-3 abadaebebfcdcfchfg
s-3 abadafbebfcfcgch
s0Minus-3 abadafbebfcfcg
s1Minus-3 abadafbebfcfcg
s0Minus2-3 abadafbebfcf
s1Minus2-3 abadafbebfcf
t-3 abadahbebfcdcfchfg
u-3 adaeafbebfbgcgchfg
uMinus-3 adaebdbebfcfcgef
v-3 adaeafbdbebgcfchgh
w-3 adafbebfbgcgchfg
w0Minus-3 aebdbebfcfcgef
x-3 abadafbdbgcfcgciefgh
y-3 adaebebfbgcgcigh
z-3 adaeagbcbebfcgcigh
aa-3 adaebebfcgchcifghi
ab-3 adaeafbebfbgchcigh
ac-3 adafagbebfbhcgcihi
ad-3 adaeafbfbgbhcecigh
ae-3 abaeagbdbhcgchcjfghi
af-3 adaeahbcbfbgchcjhi
ag-4 aeagajbfbgbhcdchcididjgh
ah-4 aeagajbfbgbhcdchcidedjgh
ai-4 aeafagbgbhbkcdchcididjefjk
aj-4 abaeajbfbgcdchckdidkghij
ak-4 abaeajbfbgcdchcldidkghij
al-4 aeafahbgbhbicdcicjdkdlhi
am-5 afahaibcbgbkcgchdedidlejelhijk
an-5 afagaibhbibjcdcjckdkdlekemenij
ao-5 afagaibhbibkcjckcldedldmeienkl
abMinus-3 adaebdbebfcgchfg
acMinus-3 aeafbdbebgcfchgh
adMinus-3 adaebebfbgcdchfg
anMinus-5 afahbgbhbjcicjckdedkdlehemjk
anMinus2-5 agbfbgbichcicjdedjdkegelij
l0-3 abadaebdbfcecgfg
