ptr-a abacadbcbdcd reddish -; red ab; bluish -; blue cd
ptr-b abacadbcbd reddish -; red ab; bluish cd; blue -
ptr-c acaebdbecd reddish -; red ab; bluish e; blue cd
ptr-d abacadbdbecd reddish -; red ab; bluish e; blue cd
ptr-e abacaebcbecd reddish -; red ab; bluish e; blue cd
ptr-f abacaebdbecd reddish -; red ab; bluish e; blue cd
ptr-g acadbdbe reddish -; red ab; bluish cde; blue -
ptr-h abacadbdbe reddish -; red ab; bluish cde; blue -
ptr-i abacadbebfde reddish -; red ab; bluish cf; blue de
ptr-j abacadbdbfde reddish -; red ab; bluish cf; blue de
ptr-k abacadbebf reddish -; red ab; bluish cdef; blue -
ptr-l acadaebdbeef reddish a; red b; bluish cd; blue ef
ptr-m acadaebdbfef reddish a; red b; bluish cd; blue ef
ptr-n abadaebdbfcecgfg reddish -; red abc; bluish de; blue fg
ptr-o adaeafbcbebgcfcgde reddish a; red bc; bluish fg; blue de
ptr-p adaeafbebgcfchef reddish a; red bc; bluish dgh; blue ef
ptr-q adaeafbcbfbgcgchef reddish a; red bc; bluish dgh; blue ef
ptr-r adaeagbdbfcgciefgh reddish a; red bc; bluish di; blue efgh
ptr-s adaeagbdbfchciefgh reddish a; red bc; bluish di; blue efgh
ptr-t adaeagbcbgbhchcifg reddish a; red bc; bluish dehi; blue fg
ptr-u adaeahbcbfbgchcjhi reddish a; red bc; bluish defgj; blue hi
ptr-v abaeaibebfcdcgcjdhdjfghi reddish -; red abcd; bluish ej; blue fghi
ptr-w abaeajbfbgcdchckdidkghij reddish -; red abcd; bluish efk; blue ghij
ptr-x abaeagbfbhcgcjdhdidkhijk reddish d; red abc; bluish efg; blue hijk
ptr-y abaeajbfbgcdchcldidkghij reddish -; red abcd; bluish efkl; blue ghij
ntr-a abacbc reddish -; red a; bluish -; blue bc
ntr-b acadbcbd reddish -; red ab; bluish cd; blue -
ntr-c abacadbcbd reddish -; red ab; bluish cd; blue -
ntr-d acadbdbe reddish -; red ab; bluish cde; blue -
ntr-e acadbcbdbe reddish b; red a; bluish cde; blue -
ntr-f abacadbebfde reddish -; red ab; bluish cf; blue de
ntr-g abacadbebf reddish -; red ab; bluish cdef; blue -
ntr-h acadbdbebfef reddish b; red a; bluish cd; blue ef
ntr-i adaebdbebfcd reddish b; red a; bluish ef; blue cd
ntr-j acaebebfbgdefg reddish b; red a; bluish c; blue defg
