name,edges,reddish,red,bluish,blue,degree_constraint
ptr-a,abacadbcbdcd,,ab,,cd,
ptr-b,abacadbcbd,,ab,cd,,
ptr-c,acaebdbecd,,ab,e,cd,
ptr-d,abacadbdbecd,,ab,e,cd,
ptr-e,abacaebcbecd,,ab,e,cd,
ptr-f,abacaebdbecd,,ab,e,cd,
ptr-g,acadbdbe,,ab,cde,,
ptr-h,abacadbdbe,,ab,cde,,
ptr-i,abacadbebfde,,ab,cf,de,
ptr-j,abacadbdbfde,,ab,cf,de,
ptr-k,abacadbebf,,ab,cdef,,
ptr-l,acadaebdbeef,a,b,cd,ef,
ptr-m,acadaebdbfef,a,b,cd,ef,
ptr-n,abadaebdbfcecgfg,,abc,de,fg,
ptr-o,adaeafbcbebgcfcgde,a,bc,fg,de,
ptr-p,adaeafbebgcfchef,a,bc,dgh,ef,
ptr-q,adaeafbcbfbgcgchef,a,bc,dgh,ef,
ptr-r,adaeagbdbfcgciefgh,a,bc,di,efgh,
ptr-s,adaeagbdbfchciefgh,a,bc,di,efgh,
ptr-t,adaeagbcbgbhchcifg,a,bc,dehi,fg,
ptr-u,adaeahbcbfbgchcjhi,a,bc,defgj,hi,
ptr-v,abaeaibebfcdcgcjdhdjfghi,,abcd,ej,fghi,
ptr-w,abaeajbfbgcdchckdidkghij,,abcd,efk,ghij,
ptr-x,abaeagbfbhcgcjdhdidkhijk,d,abc,efg,hijk,
ptr-y,abaeajbfbgcdchcldidkghij,,abcd,efkl,ghij,
ntr-a,abacbc,,a,,bc,
ntr-b,acadbcbd,,ab,cd,,
ntr-c,abacadbcbd,,ab,cd,,
ntr-d,acadbdbe,,ab,cde,,
ntr-e,acadbcbdbe,b,a,cde,,
ntr-f,abacadbebfde,,ab,cf,de,
ntr-g,abacadbebf,,ab,cdef,,
ntr-h,acadbdbebfef,b,a,cd,ef,
ntr-i,adaebdbebfcd,b,a,ef,cd,
ntr-j,acaebebfbgdefg,b,a,c,defg,
ntr-k,abadafbebfcdcecfde,c,ab,f,de,
ntr-l,abadaebdbfcecgfg,,abc,de,fg,
ntr-m,abadafbebfcfcgde,,abc,fg,de,
ntr-n,abadafbebfcfcg,,abc,defg,,
ntr-o,abadafbebfcdcecgde,c,ab,fg,de,
ntr-p,adaeafbdbecfcgef,a,bc,dg,ef,
ntr-q,adaeafbebgcfchfg,a,bc,deh,fg,
ntr-r,adaeafbebgcfchef,a,bc,dgh,ef,
ntr-s,abadaebebfcdcfchfg,c,ab,deh,fg,
ntr-t,abadafbebfcfcgch,c,ab,defgh,,
ntr-u,abadahbebfcdcfchfg,c,ab,deh,fg,
ntr-v,adaeafbebfbgcgchfg,ab,c,deh,fg,
ntr-w,adaeafbdbebgcfchgh,ab,c,def,gh,
ntr-x,adafbebfbgcgchfg,b,ac,deh,fg,
ntr-y,abadafbdbgcfcgciefgh,c,ab,di,efgh,
ntr-z,adaebebfbgcgcigh,b,ac,defi,gh,
ntr-aa,adaeagbcbebfcgcigh,a,bc,defi,gh,
ntr-ab,adaebebfcgchcifghi,c,ab,de,fghi,
ntr-ac,adaeafbebfbgchcigh,ab,c,defi,gh,
ntr-ad,adafagbebfbhcgcihi,ab,c,defg,hi,
ntr-ae,adaeafbfbgbhcecigh,ab,c,defi,gh,
ntr-af,abaeagbdbhcgchcjfghi,c,ab,dej,fghi,
ntr-ag,adaeahbcbfbgchcjhi,a,bc,defgj,hi,
ntr-ah,aeagajbfbgbhcdchcididjgh,ab,cd,efij,gh,
ntr-ai,aeagajbfbgbhcdchcidedjgh,ab,cd,efij,gh,
ntr-aj,aeafagbgbhbkcdchcididjefjk,ab,cd,ghi,efjk,
ntr-ak,abaeajbfbgcdchckdidkghij,,abcd,efk,ghij,
ntr-al,abaeajbfbgcdchcldidkghij,,abcd,efkl,ghij,
ntr-am,aeafahbgbhbicdcicjdkdlhi,ab,cd,efgjkl,hi,
ntr-an,afahaibcbgbkcgchdedidlejelhijk,a,bcde,fgl,hijk,
ntr-ao,afagaibhbibjcdcjckdkdlekemenij,abe,cd,fghklmn,ij,
ntr-ap,afagaibhbibkcjckcldedldmeienkl,abc,de,fghijmn,kl,
ptr-abs,ab,,a,b,,deg(a)=2
ntr-abs,ab,,a,b,,deg(a)=2
ptr-dc-a,acadbcbede,a,b,c,de,deg(a)=2
ntr-dc-a,abacbc,a,,,bc,deg(a)=2
ntr-dc-b,acadbcbd,b,a,cd,,deg(b)=2
ntr-dc-c,abadaebdbfcecgfg,c,ab,de,fg,deg(c)=2
ntr-dc-d,abadafbebfcfcg,c,ab,defg,,deg(c)=2
ntr-dc-e,abadafbebfcf,c,ab,def,,deg(c)=1
ntr-dc-f,adaebdbebfcfcgef,ab,c,dg,ef,deg(a)=2
ntr-dc-g,adafbebfbgcgchfg,ab,c,deh,fg,deg(a)=2
ntr-dc-h,aebdbebfcfcgef,ab,c,dg,ef,deg(a)=1
ntr-dc-i,adaebdbebfcgchfg,ab,c,deh,fg,deg(a)=2
ntr-dc-j,aeafbdbebgcfchgh,ab,c,def,gh,deg(a)=2
ntr-dc-k,adaebebfbgcdchfg,ab,c,deh,fg,deg(a)=2
ntr-dc-l,afahbgbhbjcicjckdedkdlehemjk,abc,de,fghilm,jk,deg(a)=2
ntr-dc-m,agbfbgbichcicjdedjdkegelij,abc,de,fghkl,ij,deg(a)=1
